Clothing ID,Age Group,clean_review,Recommended IND
1,Young Adult,love tank comfortable flaw roll every time walk anything becomes bothersome,0.0
1,Middle Age,love tank material fit great love reversible highly recommend,1.0
1,Senior,originally bought black white recently purchased several different colorways perfect wear tankcami busty gal sometimes cami strap thin dig shoulder soft smooth provides enough coverage flattering fit well great loose knit low cut sweater love,1.0
8,Middle Age,bathing suit everything especially love ruching waist boy short bottom finally coverage booty need ive worn dozen time still hold quality look brand new get lot compliment every time wear drawback doesnt dry quickly dip pool lake stay wet hour even laying summer heat suit high quality cute design however clearly made lean body type generally size medium shirt size pant bought size two csections stomach problem area easily highlighted swimsuit one felt good hid problem spot showed curve stay place cant speak durability yet however make feel great tough bathing suit make worth price try bought suit based great review bummed tried top fit well bottom kept bunching torso longer side maybe thats bottom keep coming every time pulled short top would come vice versa lb bought normal size like top bit padding thats extent liked returning first one piece bathing suit absolutely love quality great color doesnt fade usually wear size ordered size fit perfectly,0.6
8,Senior,bought size year back regular size used tend sag time bought size regular size suit lovely long torso gap leg told run small size think smaller one would done better bust fake turn untied worst emphasizes tummy good look heavy need tummy support normally wear garnet hill sorry went back really wanted like,0.5
24,Young Adult,first suit ive ever ordered online first one piece ive tried since young girl little skeptical going lb pear shape short torso pleasantly surprised overall fitthe length right bottom fit really well nervous boy shorthip hugger design suit comfortable cute however something cup didnt work chest breast lb normally pant ordered probably gone super unflatteringthe print overwhelming pale skin made thin waist look larger really rode inside thigh similar bathing suit modcloth thats price flattering thick leg may suit returned itso fast,0.5
24,Middle Age,suit great curvy slightly flawed figure vintage look delivers full coverage still look sexy mother onepiece love suit high quality comfortable little tricky get perfect small chest fit cup twisted fabric make feel totally comfortable usually wear two piece fact first one piece since ten love swimsuit super cute retro ruching stomach flattering shaping padded cup make nice hourglass sinspired look great lady without lot top felt marilyn monroe suit love back coverage butt doesnt hang suit boyshort style offer good amount coverage without dowdy worried sizing first ordered based everyone said went absolutely love retro look swimsuit first saw blogger amber fillerupclark barefoot blonde knew first one piece suit ive purchased six year ive avoided one piece one tried made feel frumpy monokini look looked odd smaller frame larger bust ddd finding swimsuit fit properly challenge size ordered size reading review ordered correct size due reading review gave height weight chest size thank foot inch tall fluctuate lb lb wear bra ordered fit great coverage adequate backside rouching nice mid section self conscious woman like color fun beautiful quality excellent love bra support real bra cup sewn pricey review,1.0
35,Young Adult,bought vacation mexico boyfriend super flattering soft big thumb love gown much two gray pink really soft comfortable sleep time,1.0
35,Senior,happy chemise pink breathtaking blush fabric super soft like strap adjustable allowing make bodice perfect fit adjusting gown perfect length definitely new favorite,1.0
37,Young Adult,ordered sand loved much received went back ordered black well flattering sexy beautiful nightie look like really well made fit really well normally size perfect definitely recommend beautiful shown picture elegant normally wear small hung little,1.0
37,Middle Age,fit perfectly pound ordered small pleased way draped body bought black one,1.0
38,Young Adult,knew bought bralette something special itthe intricacy design really pretty stylebut seriously every single time wear bralette paired cute top dress get ton compliment friend never thought bralette would spark much conversation aside super durableive year washed several time stretched frayed aka gre,1.0
38,Senior,review love bralette color well always one want comfort,1.0
40,Middle Age,pretty bra light weight beautiful lace however yet find tback make feel like going spill ran small know get instead working losing weight perhaps might help fit wish came sizing purchased fit though band looser desired still keeping love back great dress used wear strapless bra wear recommend many natori feather back close bra decided try front close version springsummer top dress purchased yellow got matching hipster panty longer see yellow available could find elsewhere maybe retailer bring color back lovely sizing tried normal size cup size larger per review end fitting better also recommend going cup size excited warmer weather,1.0
42,Young Adult,make feel like sexy ice skater true size small medium fit kept medium love excited receive mail fit true size extremely flattering glad made purchase review,1.0
46,Middle Age,love gown much would wear everyday could cozy beautiful feel special like heirloom top perfect coverage skirt soft color much prettier photo pick love gown favorite hand,1.0
46,Senior,got sky color returned top way sheer know mean wanted pretty gown wear without robe front kid also price material felt flimsy cheap run small medium good finely laced sheer bustier along gown split along side make lovely sleeping garment material cooling lace itchy,0.5
61,Middle Age,lb tank nice thin layer little low cut trying cover cleavage love tank strap wide enough hide bra strap theyre soft long enough give added length shirt run short tank run small size get fit like strap little long alter little sewing theyre perfect ive retailer tank past worth quality getting regular price high buy sale try review review,0.75
